,number_of_blocks,layers_per_block,neurons_per_block_layer,neurons_per_block_layer_decay,valid_block,blocks
240,3,2,11,0,True,"[[2, 11, 0], [2, 11, 0], [2, 11, 0]]"
241,3,2,11,1,True,"[[2, 11, 1], [2, 11, 1], [2, 11, 1]]"
242,3,2,11,2,True,"[[2, 11, 2], [2, 11, 2], [2, 11, 2]]"
243,3,2,11,3,True,"[[2, 11, 3], [2, 11, 3], [2, 11, 3]]"
244,3,2,11,4,True,"[[2, 11, 4], [2, 11, 4], [2, 11, 4]]"
245,3,2,11,5,True,"[[2, 11, 5], [2, 11, 5], [2, 11, 5]]"
246,3,2,14,0,True,"[[2, 14, 0], [2, 14, 0], [2, 14, 0]]"
247,3,2,14,1,True,"[[2, 14, 1], [2, 14, 1], [2, 14, 1]]"
248,3,2,14,2,True,"[[2, 14, 2], [2, 14, 2], [2, 14, 2]]"
249,3,2,14,3,True,"[[2, 14, 3], [2, 14, 3], [2, 14, 3]]"
250,3,2,14,4,True,"[[2, 14, 4], [2, 14, 4], [2, 14, 4]]"
251,3,2,14,5,True,"[[2, 14, 5], [2, 14, 5], [2, 14, 5]]"
252,3,2,18,0,True,"[[2, 18, 0], [2, 18, 0], [2, 18, 0]]"
253,3,2,18,1,True,"[[2, 18, 1], [2, 18, 1], [2, 18, 1]]"
254,3,2,18,2,True,"[[2, 18, 2], [2, 18, 2], [2, 18, 2]]"
255,3,2,18,3,True,"[[2, 18, 3], [2, 18, 3], [2, 18, 3]]"
256,3,2,18,4,True,"[[2, 18, 4], [2, 18, 4], [2, 18, 4]]"
257,3,2,18,5,True,"[[2, 18, 5], [2, 18, 5], [2, 18, 5]]"
258,3,2,21,0,True,"[[2, 21, 0], [2, 21, 0], [2, 21, 0]]"
259,3,2,21,1,True,"[[2, 21, 1], [2, 21, 1], [2, 21, 1]]"
260,3,2,21,2,True,"[[2, 21, 2], [2, 21, 2], [2, 21, 2]]"
261,3,2,21,3,True,"[[2, 21, 3], [2, 21, 3], [2, 21, 3]]"
262,3,2,21,4,True,"[[2, 21, 4], [2, 21, 4], [2, 21, 4]]"
263,3,2,21,5,True,"[[2, 21, 5], [2, 21, 5], [2, 21, 5]]"
264,3,2,25,0,True,"[[2, 25, 0], [2, 25, 0], [2, 25, 0]]"
265,3,2,25,1,True,"[[2, 25, 1], [2, 25, 1], [2, 25, 1]]"
266,3,2,25,2,True,"[[2, 25, 2], [2, 25, 2], [2, 25, 2]]"
267,3,2,25,3,True,"[[2, 25, 3], [2, 25, 3], [2, 25, 3]]"
268,3,2,25,4,True,"[[2, 25, 4], [2, 25, 4], [2, 25, 4]]"
269,3,2,25,5,True,"[[2, 25, 5], [2, 25, 5], [2, 25, 5]]"
270,3,3,4,0,True,"[[3, 4, 0], [3, 4, 0], [3, 4, 0]]"
271,3,3,4,1,True,"[[3, 4, 1], [3, 4, 1], [3, 4, 1]]"
272,3,3,7,0,True,"[[3, 7, 0], [3, 7, 0], [3, 7, 0]]"
273,3,3,7,1,True,"[[3, 7, 1], [3, 7, 1], [3, 7, 1]]"
274,3,3,7,2,True,"[[3, 7, 2], [3, 7, 2], [3, 7, 2]]"
275,3,3,11,0,True,"[[3, 11, 0], [3, 11, 0], [3, 11, 0]]"
276,3,3,11,1,True,"[[3, 11, 1], [3, 11, 1], [3, 11, 1]]"
277,3,3,11,2,True,"[[3, 11, 2], [3, 11, 2], [3, 11, 2]]"
278,3,3,11,3,True,"[[3, 11, 3], [3, 11, 3], [3, 11, 3]]"
279,3,3,14,0,True,"[[3, 14, 0], [3, 14, 0], [3, 14, 0]]"
280,3,3,14,1,True,"[[3, 14, 1], [3, 14, 1], [3, 14, 1]]"
281,3,3,14,2,True,"[[3, 14, 2], [3, 14, 2], [3, 14, 2]]"
282,3,3,14,3,True,"[[3, 14, 3], [3, 14, 3], [3, 14, 3]]"
283,3,3,14,4,True,"[[3, 14, 4], [3, 14, 4], [3, 14, 4]]"
284,3,3,18,0,True,"[[3, 18, 0], [3, 18, 0], [3, 18, 0]]"
285,3,3,18,1,True,"[[3, 18, 1], [3, 18, 1], [3, 18, 1]]"
286,3,3,18,2,True,"[[3, 18, 2], [3, 18, 2], [3, 18, 2]]"
287,3,3,18,3,True,"[[3, 18, 3], [3, 18, 3], [3, 18, 3]]"
288,3,3,18,4,True,"[[3, 18, 4], [3, 18, 4], [3, 18, 4]]"
289,3,3,18,5,True,"[[3, 18, 5], [3, 18, 5], [3, 18, 5]]"
290,3,3,21,0,True,"[[3, 21, 0], [3, 21, 0], [3, 21, 0]]"
